The following GPUs could not be reset:
  GPU 00000000:18:00.0: Not Supported
  GPU 00000000:29:00.0: Not Supported
  GPU 00000000:3A:00.0: Not Supported
  GPU 00000000:4B:00.0: Not Supported
  GPU 00000000:9A:00.0: Not Supported
  GPU 00000000:AA:00.0: Not Supported
  GPU 00000000:BA:00.0: Not Supported
  GPU 00000000:CA:00.0: Not Supported
{'loss': 0.3163, 'grad_norm': 0.33684641122817993, 'learning_rate': 9.10039729706877e-06, 'epoch': 1.18}
{'loss': 0.2717, 'grad_norm': 0.36296185851097107, 'learning_rate': 9.085181517780272e-06, 'epoch': 1.18}
{'loss': 0.3309, 'grad_norm': 0.6066659688949585, 'learning_rate': 9.069851081458242e-06, 'epoch': 1.19}
{'loss': 0.2691, 'grad_norm': 0.4147465229034424, 'learning_rate': 9.054406418375443e-06, 'epoch': 1.2}
{'loss': 0.3171, 'grad_norm': 0.45435044169425964, 'learning_rate': 9.038847962010595e-06, 'epoch': 1.21}
{'loss': 0.2833, 'grad_norm': 0.3672654926776886, 'learning_rate': 9.023176149036204e-06, 'epoch': 1.22}
{'loss': 0.2999, 'grad_norm': 0.552511990070343, 'learning_rate': 9.007391419306308e-06, 'epoch': 1.22}
{'loss': 0.3461, 'grad_norm': 0.533279299736023, 'learning_rate': 8.991494215844133e-06, 'epoch': 1.23}
{'loss': 0.3073, 'grad_norm': 0.4795905351638794, 'learning_rate': 8.975484984829651e-06, 'epoch': 1.24}
{'loss': 0.305, 'grad_norm': 0.34477531909942627, 'learning_rate': 8.959364175587068e-06, 'epoch': 1.25}
{'loss': 0.2734, 'grad_norm': 1.5969414710998535, 'learning_rate': 8.94313224057221e-06, 'epoch': 1.26}
{'loss': 0.3, 'grad_norm': 0.4370819628238678, 'learning_rate': 8.926789635359817e-06, 'epoch': 1.26}
{'loss': 0.2979, 'grad_norm': 0.3482358455657959, 'learning_rate': 8.910336818630766e-06, 'epoch': 1.27}
{'loss': 0.3209, 'grad_norm': 0.43360546231269836, 'learning_rate': 8.893774252159186e-06, 'epoch': 1.28}
{'loss': 0.2929, 'grad_norm': 0.5106526017189026, 'learning_rate': 8.877102400799515e-06, 'epoch': 1.29}
{'loss': 0.2926, 'grad_norm': 0.3667585551738739, 'learning_rate': 8.86032173247344e-06, 'epoch': 1.3}
{'loss': 0.2997, 'grad_norm': 0.41889241337776184, 'learning_rate': 8.84343271815676e-06, 'epoch': 1.3}
{'loss': 0.3168, 'grad_norm': 0.35530129075050354, 'learning_rate': 8.826435831866185e-06, 'epoch': 1.31}
{'loss': 0.299, 'grad_norm': 0.32182809710502625, 'learning_rate': 8.80933155064601e-06, 'epoch': 1.32}
{'loss': 0.3058, 'grad_norm': 0.416528582572937, 'learning_rate': 8.792120354554749e-06, 'epoch': 1.33}
{'loss': 0.3076, 'grad_norm': 0.40812769532203674, 'learning_rate': 8.77480272665164e-06, 'epoch': 1.34}
{'loss': 0.2842, 'grad_norm': 0.3772553503513336, 'learning_rate': 8.757379152983103e-06, 'epoch': 1.34}
{'loss': 0.3158, 'grad_norm': 0.35158097743988037, 'learning_rate': 8.739850122569092e-06, 'epoch': 1.35}
{'loss': 0.281, 'grad_norm': 0.3443050682544708, 'learning_rate': 8.722216127389362e-06, 'epoch': 1.36}
{'loss': 0.2889, 'grad_norm': 0.3140816390514374, 'learning_rate': 8.704477662369682e-06, 'epoch': 1.37}
{'loss': 0.3173, 'grad_norm': 0.34043580293655396, 'learning_rate': 8.68663522536792e-06, 'epoch': 1.38}
{'loss': 0.2984, 'grad_norm': 0.31365785002708435, 'learning_rate': 8.668689317160086e-06, 'epoch': 1.38}
{'loss': 0.296, 'grad_norm': 0.3535407781600952, 'learning_rate': 8.650640441426275e-06, 'epoch': 1.39}
{'loss': 0.317, 'grad_norm': 0.3733648359775543, 'learning_rate': 8.632489104736517e-06, 'epoch': 1.4}
{'loss': 0.3278, 'grad_norm': 0.31503376364707947, 'learning_rate': 8.614235816536582e-06, 'epoch': 1.41}
{'loss': 0.2899, 'grad_norm': 0.3467455506324768, 'learning_rate': 8.59588108913366e-06, 'epoch': 1.42}
{'loss': 0.3157, 'grad_norm': 0.3869923949241638, 'learning_rate': 8.577425437681994e-06, 'epoch': 1.42}
{'loss': 0.3293, 'grad_norm': 0.3351035416126251, 'learning_rate': 8.558869380168423e-06, 'epoch': 1.43}
{'loss': 0.2961, 'grad_norm': 0.36411935091018677, 'learning_rate': 8.540213437397833e-06, 'epoch': 1.44}
